comparison	type	RAG2	E3	sreb2	Ptr	RYR3	myh6	average
brunneus	intra	0.728	0.078	0.255	0.194	0.090	0.468	0.302
flumineus	intra	0.853	0.068	0.328	0.172	0.496	0.503	0.404
fluviatilis	intra	0.374	0.356	0.218	0.000	0.211	0.612	0.295
kurodai	intra	0.302	0.198	0.000	0.000	0.000	0.278	0.130
leavelli	intra	NA	NA	NA	NA	NA	NA	NA
nagoyae	intra	0.761	0.327	0.057	0.292	0.275	0.308	0.337
ogasawaraensis	intra	0.000	0.000	0.115	0.000	0.000	0.000	0.019
similis	intra	0.907	0.435	0.421	0.524	0.830	0.695	0.636
sp.BB	intra	0.091	0.048	0.207	0.283	0.000	0.362	0.165
sp.BF	intra	0.227	0.079	0.307	0.314	0.083	0.185	0.199
sp.BW	intra	0.000	0.000	0.000	0.314	0.000	1.113	0.238
sp.CB	intra	NA	NA	NA	NA	NA	NA	NA
sp.CO	intra	0.000	0.079	0.153	0.419	0.000	0.556	0.201
sp.DL	intra	0.113	0.000	0.000	0.314	0.000	0.139	0.094
sp.KZ	intra	0.000	0.000	0.345	0.000	0.248	0.974	0.261
sp.MO	intra	0.227	0.356	0.651	0.000	0.248	0.417	0.317
sp.OM	intra	NA	NA	NA	NA	NA	NA	NA
sp.OR	intra	0.340	0.145	0.212	0.119	0.179	0.479	0.246
sp.TO	intra	0.378	0.000	0.077	0.000	0.000	0.371	0.138
sp.YB	intra	0.249	0.214	0.046	0.346	0.000	0.250	0.184
virgigena	intra	NA	NA	NA	NA	NA	NA	NA
brunneus <> flumineus	inter	1.306	0.315	0.421	0.218	0.648	0.737	0.607
brunneus <> fluviatilis	inter	0.994	0.471	0.332	0.572	0.864	0.589	0.637
brunneus <> kurodai	inter	1.230	1.191	0.303	0.286	0.293	0.910	0.702
brunneus <> leavelli	inter	2.350	0.518	0.491	0.600	0.790	1.087	0.973
brunneus <> nagoyae	inter	2.458	0.578	0.332	0.423	0.929	0.406	0.854
brunneus <> ogasawaraensis	inter	0.783	0.281	0.192	0.572	0.045	0.405	0.380
brunneus <> similis	inter	5.068	1.389	0.721	2.358	14.687	2.158	4.397
brunneus <> sp.BB	inter	0.973	1.017	0.508	0.357	0.293	0.468	0.603
brunneus <> sp.BF	inter	1.154	1.033	0.603	0.496	0.086	0.624	0.666
brunneus <> sp.BW	inter	1.154	0.993	0.219	0.443	0.045	1.637	0.749
brunneus <> sp.CB	inter	2.402	0.518	0.303	0.286	0.914	0.379	0.800
brunneus <> sp.CO	inter	1.113	0.439	0.345	0.438	0.665	0.742	0.624
brunneus <> sp.DL	inter	0.964	0.281	0.219	0.565	0.045	0.436	0.418
brunneus <> sp.KZ	inter	1.381	1.112	0.413	0.286	0.231	0.986	0.735
brunneus <> sp.MO	inter	1.343	1.152	0.679	0.286	0.335	0.493	0.715
brunneus <> sp.OM	inter	1.268	0.993	0.334	0.286	0.169	0.986	0.673
brunneus <> sp.OR	inter	1.239	1.076	0.311	0.349	0.182	0.512	0.612
brunneus <> sp.TO	inter	1.684	0.281	0.571	0.443	0.665	1.092	0.789
brunneus <> sp.YB	inter	0.612	0.201	0.217	0.537	0.045	0.382	0.332
brunneus <> virgigena	inter	2.855	0.399	0.836	0.901	1.038	1.795	1.304
flumineus <> fluviatilis	inter	1.367	0.224	0.509	0.562	0.783	0.846	0.715
flumineus <> kurodai	inter	1.177	0.944	0.279	0.247	0.851	0.914	0.735
flumineus <> leavelli	inter	2.268	0.271	0.657	0.562	0.957	1.172	0.981
flumineus <> nagoyae	inter	1.984	0.297	0.308	0.326	0.957	0.718	0.765
flumineus <> ogasawaraensis	inter	1.199	0.034	0.372	0.562	0.603	0.695	0.577
flumineus <> similis	inter	5.097	1.380	0.881	2.276	14.778	2.411	4.470
flumineus <> sp.BB	inter	1.147	0.770	0.489	0.341	0.851	0.640	0.706
flumineus <> sp.BF	inter	1.101	0.786	0.755	0.457	0.644	0.470	0.702
flumineus <> sp.BW	inter	1.101	0.747	0.394	0.404	0.603	1.381	0.772
flumineus <> sp.CB	inter	1.895	0.238	0.279	0.180	0.939	0.715	0.708
flumineus <> sp.CO	inter	1.053	0.192	0.312	0.457	0.585	1.033	0.605
flumineus <> sp.DL	inter	1.369	0.034	0.394	0.562	0.603	0.715	0.613
flumineus <> sp.KZ	inter	1.328	0.865	0.460	0.247	0.789	1.043	0.789
flumineus <> sp.MO	inter	1.404	0.905	0.706	0.247	0.892	0.742	0.816
flumineus <> sp.OM	inter	1.215	0.747	0.509	0.247	0.727	0.795	0.706
flumineus <> sp.OR	inter	1.182	0.830	0.384	0.303	0.739	0.753	0.699
flumineus <> sp.TO	inter	1.155	0.034	0.416	0.404	0.443	0.669	0.520
flumineus <> sp.YB	inter	1.108	0.461	0.397	0.499	0.603	0.600	0.611
flumineus <> virgigena	inter	2.964	0.153	1.002	0.876	1.170	1.868	1.339
fluviatilis <> kurodai	inter	1.323	0.816	0.230	0.314	1.067	0.872	0.770
fluviatilis <> leavelli	inter	2.404	0.428	0.575	0.629	1.067	1.252	1.059
fluviatilis <> nagoyae	inter	2.551	0.484	0.259	0.767	0.989	0.518	0.928
fluviatilis <> ogasawaraensis	inter	0.272	0.190	0.192	0.000	0.819	0.445	0.320
fluviatilis <> similis	inter	4.754	1.536	0.805	1.887	14.554	2.272	4.301
fluviatilis <> sp.BB	inter	1.066	0.641	0.460	0.472	1.067	0.590	0.716
fluviatilis <> sp.BF	inter	1.247	0.657	0.498	0.524	0.860	0.732	0.753
fluviatilis <> sp.BW	inter	1.247	0.618	0.115	0.472	0.819	1.655	0.821
fluviatilis <> sp.CB	inter	2.494	0.428	0.230	0.629	0.943	0.501	0.871
fluviatilis <> sp.CO	inter	1.247	0.325	0.460	0.210	0.447	0.732	0.570
fluviatilis <> sp.DL	inter	0.669	0.190	0.115	0.157	0.819	0.640	0.432
fluviatilis <> sp.KZ	inter	1.474	0.736	0.402	0.314	1.005	1.001	0.822
fluviatilis <> sp.MO	inter	1.436	0.792	0.690	0.314	1.108	0.575	0.819
fluviatilis <> sp.OM	inter	1.361	0.618	0.230	0.314	0.943	1.168	0.772
fluviatilis <> sp.OR	inter	1.338	0.701	0.241	0.377	0.955	0.598	0.702
fluviatilis <> sp.TO	inter	1.776	0.190	0.498	0.786	0.943	1.205	0.900
fluviatilis <> sp.YB	inter	0.816	0.618	0.138	0.881	0.819	0.456	0.621
fluviatilis <> virgigena	inter	2.948	0.309	0.920	0.629	1.315	1.892	1.335
kurodai <> leavelli	inter	2.192	1.148	0.575	0.314	0.993	1.530	1.125
kurodai <> nagoyae	inter	2.400	1.193	0.029	0.452	1.132	0.852	1.010
kurodai <> ogasawaraensis	inter	1.096	0.911	0.192	0.314	0.248	0.834	0.599
kurodai <> similis	inter	4.875	2.257	0.805	2.096	14.778	2.550	4.560
kurodai <> sp.BB	inter	0.348	0.222	0.230	0.157	0.372	0.853	0.364
kurodai <> sp.BF	inter	0.302	0.238	0.498	0.210	0.248	0.788	0.381
kurodai <> sp.BW	inter	0.302	0.198	0.115	0.157	0.248	1.414	0.406
kurodai <> sp.CB	inter	2.343	1.148	0.000	0.314	1.117	0.834	0.959
kurodai <> sp.CO	inter	1.209	0.950	0.230	0.314	0.868	1.113	0.781
kurodai <> sp.DL	inter	1.266	0.911	0.115	0.314	0.248	0.974	0.638
kurodai <> sp.KZ	inter	0.416	0.317	0.230	0.000	0.124	0.580	0.278
kurodai <> sp.MO	inter	0.605	0.435	0.498	0.000	0.372	0.834	0.457
kurodai <> sp.OM	inter	0.416	0.198	0.230	0.000	0.248	1.252	0.391
kurodai <> sp.OR	inter	0.314	0.198	0.138	0.063	0.223	0.765	0.283
kurodai <> sp.TO	inter	1.512	0.911	0.268	0.472	0.868	1.113	0.857
kurodai <> sp.YB	inter	0.983	1.338	0.138	0.566	0.248	0.760	0.672
kurodai <> virgigena	inter	2.910	1.029	0.920	0.629	1.241	2.225	1.492
leavelli <> nagoyae	inter	3.458	0.534	0.603	0.767	1.163	1.113	1.273
leavelli <> ogasawaraensis	inter	2.154	0.238	0.421	0.629	0.744	1.113	0.883
leavelli <> similis	inter	5.858	1.584	0.920	2.254	14.902	2.503	4.670
leavelli <> sp.BB	inter	2.200	0.974	0.782	0.472	0.993	0.918	1.056
leavelli <> sp.BF	inter	2.154	0.990	0.843	0.524	0.786	1.344	1.107
leavelli <> sp.BW	inter	2.154	0.950	0.460	0.472	0.744	1.878	1.110
leavelli <> sp.CB	inter	3.401	0.475	0.575	0.629	1.117	1.113	1.218
leavelli <> sp.CO	inter	2.154	0.396	0.575	0.629	0.868	1.437	1.010
leavelli <> sp.DL	inter	2.324	0.238	0.460	0.629	0.744	0.765	0.860
leavelli <> sp.KZ	inter	2.381	1.069	0.690	0.314	0.931	1.669	1.176
leavelli <> sp.MO	inter	2.457	1.108	0.958	0.314	1.034	1.066	1.156
leavelli <> sp.OM	inter	2.268	0.950	0.575	0.314	0.868	1.669	1.107
