specimen_id	taxon_genbank	taxon_current	morphotype	life_history	locality	prefecture	river_system	habitat_type	collection_date	specimen_voucher	body_size_mm	egg_size_mm	otolith_srca	sex	cited_in	figure_table	notes
KU-TK100705-1	Rhinogobius kurodai	R. kurodai	偽橙色型	陸封	Japan: Tokyo, Shinjuku Gyoen	Tokyo			2010-07-05	NSMT:P:120844						Yamasaki et al. 2015	topotype; タイプ産地=赤坂黒田邸（新宿御苑は近隣）; Suzuki & Chen 2011は偽橙色型に同定（未検証）
KU-TK100705-2	Rhinogobius kurodai	R. kurodai	偽橙色型	陸封	Japan: Tokyo, Shinjuku Gyoen	Tokyo			2010-07-05	NSMT:P:120845						Yamasaki et al. 2015	topotype; Suzuki & Chen 2011は偽橙色型に同定（未検証）
KU-TK100705-3	Rhinogobius kurodai	R. kurodai	偽橙色型	陸封	Japan: Tokyo, Shinjuku Gyoen	Tokyo		池	2010-07-05	NSMT:P:120846						Yamasaki et al. 2015	topotype; 核DNAのみ（mtDNA欠）; Suzuki & Chen 2011は偽橙色型に同定（未検証）
OR-NI110816-1	Rhinogobius sp. OR	sp.OR	橙色型?		Japan: Niigata, Seki River	Niigata	関川	河川	2011-08-16	NSMT:P:120793						Yamasaki et al. 2015	回遊型; 河川産
OR-NI110816-2	Rhinogobius sp. OR	sp.OR	橙色型?		Japan: Niigata, Seki River	Niigata	関川	河川	2011-08-16	NSMT:P:120794						Yamasaki et al. 2015	回遊型; 河川産
OR-HK110724-5	Rhinogobius sp. OR	sp.OR	橙色型?		Japan: Fukuoka, Fukutsu, Channel	Fukuoka	福津水路	水路	2011-07-24	NSMT:P:120822						Yamasaki et al. 2015	回遊型; 九州
OR-HK110724-6	Rhinogobius sp. OR	sp.OR	橙色型?		Japan: Fukuoka, Fukutsu, Channel	Fukuoka	福津水路	水路	2011-07-24	NSMT:P:120823						Yamasaki et al. 2015	回遊型; 核DNAのみ
OR-FS091026-1	Rhinogobius sp. OR	sp.OR		陸封	Japan: Fukushima, Miharu Dam	Fukushima	三春ダム	ダム湖	2009-10-26							Yamasaki et al. 2015	陸封型; ダム湖産
OR-FS091026-2	Rhinogobius sp. OR	sp.OR		陸封	Japan: Fukushima, Miharu Dam	Fukushima	三春ダム	ダム湖	2009-10-26							Yamasaki et al. 2015	陸封型; 核DNAのみ
OR-IW081011-2	Rhinogobius sp. OR	sp.OR		陸封	Japan: Iwate, Ichinoseki, Pond	Iwate		池	2008-10-11							Yamasaki et al. 2015	陸封型; 核DNAのみ
OR-IW090528-1	Rhinogobius sp. OR	sp.OR		陸封	Japan: Iwate, Oshu, Pond	Iwate		池	2009-05-28	NSMT:P:120838						Yamasaki et al. 2015	陸封型
OR-HO120408-1	Rhinogobius sp. OR	sp.OR	沼型(ヌマヨシノボリ)?		Japan: Hokkaido, Abashiri River	Hokkaido	網走川		2012-04-08							Yamasaki et al. 2015	陸封型; 核DNAのみ; 北海道産
OR-YN120714-5	Rhinogobius sp. OR	sp.OR			Japan: Yamanashi, Fuefuki River	Yamanashi	笛吹川	河川	2012-07-14	NSMT:P:120840						Yamasaki et al. 2015	陸封型; 核DNAのみ; 富士川水系
BF-HY110605-1	Rhinogobius sp. BF	R. tyoni	縞鰭型	淡水定住	Japan: Hyogo, Kako River	Hyogo	加古川	河川	2011-06-05	NSMT:P:120786						Yamasaki et al. 2015; Suzuki et al. 2019	sp.BF = R. tyoni (2019記載); sp.BF=R.tyoni: Suzuki et al. 2019
BF-HY110913-1	Rhinogobius sp. BF	R. tyoni	縞鰭型	淡水定住	Japan: Hyogo, Himeji, Pond	Hyogo		池	2011-09-13	NSMT:P:120812						Yamasaki et al. 2015	sp.BF=R.tyoni: Suzuki et al. 2019
BF-OY110722-1	Rhinogobius sp. BF	R. tyoni	縞鰭型	淡水定住	Japan: Okayama, Uryu River	Okayama	宇龍川?	河川	2011-07-22							Yamasaki et al. 2015	sp.BF=R.tyoni: Suzuki et al. 2019
BW-SG130523-1	Rhinogobius sp. BW	R. biwaensis		湖河回遊	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖	2013-05-23	NSMT:P:120849						Yamasaki et al. 2015; Takahashi & Okazaki 2017	sp.BW = R. biwaensis (2017記載); sp.BW=R.biwaensis: Takahashi & Okazaki 2017
BW-SG130601-1	Rhinogobius sp. BW	R. biwaensis		湖河回遊	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖	2013-06-01	NSMT:P:120850						Yamasaki et al. 2015	sp.BW=R.biwaensis: Takahashi & Okazaki 2017
KZ-CB100418-2	Rhinogobius sp. KZ	sp.KZ	偽橙色型(房総型)	陸封	Japan: Chiba, Mizusawa River	Chiba	水沢川		2010-04-18	NSMT:P:120856						Yamasaki et al. 2015	カズサヨシノボリ; 未記載
KZ-CB100418-3	Rhinogobius sp. KZ	sp.KZ	偽橙色型(房総型)	陸封	Japan: Chiba, Mizusawa River	Chiba	水沢川		2010-04-18	NSMT:P:120857						Yamasaki et al. 2015	
OM-SG110725-2	Rhinogobius sp. OM	sp.OM		湖河回遊?	Japan: Shiga, Sakura River	Shiga	桜川	河川	2011-07-25	NSMT:P:120792						Yamasaki et al. 2015	琵琶湖流入河川
KN1468	Rhinogobius kurodai	R. kurodai	橙色型?		Japan: Tokyo	Tokyo			2020-06-29	CBM:ZF24322						Tsuji et al. 2025	eDNA比較系統地理
D403	Rhinogobius kurodai	R. kurodai			Japan: Tokyo	Tokyo								Nakamura et al. (未公刊)	BLIP200131231		
KN3627	Rhinogobius sp. OR	sp.OR	橙色型?		Japan: Nagasaki, Honmyo River	Nagasaki	本明川	河川	2023-03-05	CBM:ZF24339						Tsuji et al. 2025	九州西部; 回遊型
KN3628	Rhinogobius sp. OR	sp.OR	橙色型?		Japan: Nagasaki, Honmyo River	Nagasaki	本明川	河川	2023-03-05	CBM:ZF24340						Tsuji et al. 2025	
KN3629	Rhinogobius sp. OR	sp.OR	橙色型?		Japan: Nagasaki, Honmyo River	Nagasaki	本明川	河川	2023-03-05	CBM:ZF24341						Tsuji et al. 2025	
KN3693	Rhinogobius sp. OR	sp.OR	橙色型?		Japan: Fukuoka, Chikugo River	Fukuoka	筑後川	河川	2024-09-13	CBM:ZF24342						Tsuji et al. 2025	
haplotype:OR01	Rhinogobius kurodai	R. kurodai		陸封	Japan: Mie, Suzuka city	Mie	鈴鹿	ため池		KPM-NI:31165						Mukai et al. 2012	鈴鹿ため池; ハプロタイプ代表
haplotype:OR02	Rhinogobius kurodai	R. kurodai		陸封	Japan: Mie, Suzuka city	Mie	鈴鹿	ため池		KPM-NI:31160						Mukai et al. 2012	
haplotype:OR03	Rhinogobius kurodai	R. kurodai		陸封	Japan: Mie, Suzuka city	Mie	鈴鹿	ため池		KPM-NI:31172						Mukai et al. 2012	
haplotype:OR05	Rhinogobius sp. OR	sp.OR		陸封(非在来)	Japan: Okayama, Maniwa, Yubara Dam	Okayama	旭川	ダム湖	2008-06-07							Mukai et al. 2015	湯原ダム湖; 非在来集団
haplotype:OR06	Rhinogobius sp. OR	sp.OR		陸封(非在来)	Japan: Aichi, Toyota, Asuri Dam	Aichi	矢作川	ダム湖	2012-02-21							Mukai et al. 2015	阿摺ダム; 非在来集団
Mukai2005-Akigawa	Rhinogobius sp. OR	sp.OR			Japan: Tokyo, Akigawa River	Tokyo	秋川	河川								Mukai et al. 2005	
Mukai2005-Biwa	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Mukai et al. 2005	
ROR_01	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Tabata et al. 2016	cytbハプロタイプ代表; 577bp
ROR_02	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Tabata et al. 2016	
ROR_03	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Tabata et al. 2016	
ROR_04	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Tabata et al. 2016	
ROR_05	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Tabata et al. 2016	
ROR_06	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Tabata et al. 2016	
ROR_07	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Tabata et al. 2016	
ROR_08	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Tabata et al. 2016	
ROR_09	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Tabata et al. 2016	
ROR_10	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Tabata et al. 2016	
ROR_11	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Tabata et al. 2016	
ROR_12	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Tabata et al. 2016	
ROR_13	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Tabata et al. 2016	
ROR_14	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Tabata et al. 2016	
ROR_15	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Tabata et al. 2016	
RGO-01	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Akihito et al. 2019	D-loop個体配列; 474bp
RGO-02	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Akihito et al. 2019	
RGO-03	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Akihito et al. 2019	
RGO-05	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Akihito et al. 2019	
RGO-06	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Akihito et al. 2019	
RGO-08	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Akihito et al. 2019	
RGO-09	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Akihito et al. 2019	
RGO-10	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Akihito et al. 2019	
RGO-11	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Akihito et al. 2019	
RGO-12	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Akihito et al. 2019	
RGO-14	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Akihito et al. 2019	
RGO-15	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Akihito et al. 2019	
RGO-16	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Akihito et al. 2019	
RGO-17	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Akihito et al. 2019	
RGO-18	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Akihito et al. 2019	
RGO-19	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Akihito et al. 2019	
RGO-20	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Akihito et al. 2019	
RGO-21	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Akihito et al. 2019	
RGO-22	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Akihito et al. 2019	
RGO-23	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Akihito et al. 2019	
RGO-24	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Akihito et al. 2019	
RGO-25	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Akihito et al. 2019	
RGO-26	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Akihito et al. 2019	
RGO-27	Rhinogobius sp. OR	sp.OR		湖河回遊(環境推定)	Japan: Shiga, Lake Biwa	Shiga	琵琶湖	湖								Akihito et al. 2019
